大类,问题的根因,问题的症状描述
bug,路径配置错误,缺少正确路径导致模块导入失败
bug,代码逻辑错误,修复原有功能时引入新错误
bug,依赖缺失或配置错误,缺少必要文件或模块导致功能异常
bug,API兼容性问题,新版本API不兼容导致运行错误
bug,代码拼写错误,文档或代码中存在拼写错误
bug,内存管理错误,检查点恢复失败导致内存泄漏或卡死
bug,多线程同步问题,多线程场景下出现死锁
bug,CUDA兼容性问题,CUDA内核错误导致功能异常
bug,参数处理错误,传递未知参数导致TypeError
bug,测试用例缺失,缺少预备操作导致测试失败
bug,资源管理不当,内存溢出(OOM)导致模型保存失败
bug,功能实现不完整,自动并行代码生成失败
bug,版本升级问题,升级操作导致异常行为
bug,梯度检查点配置错误,缺少pipeline grad ckpt导致功能异常
bug,输出格式错误,字符串拼接格式导致输出异常
bug,内核编译错误,运行时内核编译失败
bug,模块替换逻辑错误,重复替换模块导致异常
bug,文档缺失,缺少docstrings导致功能异常
bug,调度批处理错误,CUDA kernels调度异常
bug,布局优化需求,现有布局导致性能低下
requirement,性能优化需求,需要重构布局提升推理速度
requirement,功能扩展需求,需要支持多反向传播
bug,依赖版本冲突,特定硬件环境出现兼容性问题
bug,函数命名错误,错误函数名导致调用失败
bug,数值处理错误,默认值设置不当导致数值异常
bug,代码冗余问题,存在未使用函数影响维护
bug,环境配置不兼容,执行命令时因Python/CUDA/PyTorch版本不匹配出现错误
bug,第三方库版本升级依赖,因transformers库升级导致模型前向函数/掩码生成逻辑变化
bug,分布式训练策略配置错误,使用HybridParallelOptimizer/TensorParallel时参数分片错误导致数值异常
bug,硬件环境依赖缺失,无GPU设备时CUDA扩展构建失败或功能不可用
bug,模型参数处理不当,checkpoint加载时参数大小不匹配未抛出异常
bug,梯度计算逻辑错误,模型norm层梯度计算异常导致训练失败
bug,并行策略实现缺陷,使用tensor并行时输出收集错误导致结果异常
bug,依赖项缺失,缺少apex库导致融合layernorm不可用
bug,缓存管理机制缺陷,布局转换器误用缓存导致sharding shape错误
bug,代码逻辑条件判断错误,`torch.cuda.is_available`检测逻辑不准确
bug,资源管理异常,MoE模型训练时出现CUDA内存溢出
bug,API兼容性问题,transformers版本升级导致OPT/Falcon模型前向函数不兼容
bug,路径配置错误,include路径设置错误导致编译/导入失败
bug,拼写错误,关键参数名称拼写错误导致功能异常
bug,测试用例维护不足,shardformer测试案例执行失败
bug,初始化逻辑缺陷,HuggingFace预训练参数加载未正确初始化
bug,异常处理机制缺失,模型参数大小不匹配时未抛出异常
bug,分布式通信配置错误,未设置master_addr导致多机训练失败
bug,功能开关缺失,缺少3D并行插件开关导致输出异常
bug,数据预处理逻辑错误,禁用few_shot时数据集加载出现IndexError
bug,模块导入错误,出现ImportError，提示模块未找到或导入语句错误
bug,代码逻辑错误,运行时错误如KeyError、功能冲突、断言失败、层冻结异常
bug,依赖或环境配置问题,环境不兼容导致崩溃或测试失败（如CUDA版本问题）
bug,文档或代码拼写错误,示例代码无法显示、描述不清晰、变量名错误
bug,参数配置错误,参数类型或值错误（如int代替float）、缺少必要参数（如start_step）
bug,资源缺失,缺少必要文件或模块（如utils.py、accelerator模块）
bug,API使用错误,调用API时出现RuntimeError或兼容性问题（如张量子类异常）
bug,测试用例问题,测试未通过或未覆盖导致功能缺陷（如缺少CI测试）
bug,内存管理问题,内存访问错误或内存不足导致崩溃（如批大小非2的幂）
bug,梯度计算错误,损失值为NaN或梯度异常（如Softmax和Focal Loss异常）
bug,检查点或序列化错误,检查点保存/加载失败、格式错误或同步问题
bug,并行处理错误,混合并行下功能异常（如dataloader问题、TP/DP配置错误）
bug,代码规范问题,未遵循标准流程（如PR检查缺失）、存在冗余断言（如dp_size检查）
bug,配置文件错误,稳定扩散推理出现bug，测试代码问题导致CI构建失败，bash命令不完整导致问题
bug,代码逻辑错误,请求处理程序问题导致无法完全解码，pipeline forward层次不一致，自定义策略覆盖函数导致错误，未正确处理内存使用导致OOM错误
bug,依赖或兼容性问题,CI环境与FBGEMM不兼容需移除功能，FlashAttention仅支持Ampere GPU导致RuntimeError，GPU连接问题导致无法运行
bug,资源管理问题,内存溢出（OOM）错误，优化器初始化进程被杀死，转换大型checkpoint失败
bug,拼写或文档错误,文档中存在拼写错误需修复，README.md文件拼写错误导致表述不准确
bug,流程规范问题,未遵循PR创建标准流程导致功能异常，缺少PR创建流程检查导致混乱提交
bug,API或模块缺陷,API准确性不足和注意力方法问题，shardformer模块测试执行路径配置错误，Triton kernel问题导致功能异常
bug,数值计算错误,无法将数值转换为浮点数导致RuntimeError，参数未设置梯度导致Assertion错误
bug,测试配置或执行错误,测试用例未通过导致CI失败，测试代码问题导致本地存储插件测试失败
bug,功能缺失或不完整,缺少p2p fallback order导致pp死锁，未注册group导致shardformer测试错误
bug,代码实现错误或逻辑错误,损失值异常高且无法收敛
bug,张量操作或内存管理问题,出现tensor无法访问、内存分配错误或索引越界错误
bug,梯度计算问题,梯度为NaN或出现梯度溢出提示
bug,状态保存与恢复错误,学习率重置或状态无法正确加载
bug,模块或函数版本兼容性问题,因库版本更新导致功能异常或导入错误
bug,硬件资源不足或配置不当,出现OOM（内存不足）错误或计算资源不匹配
bug,通信或并行处理错误,pipeline通信问题或分布式训练错误
bug,编译或环境依赖问题,编译时报错（如头文件缺失或CUDA代码错误）
bug,参数校验或配置缺失,关键参数未正确处理导致功能异常
bug,功能不支持或实现不完整,特定参数组合或硬件环境不支持导致报错
bug,文本或符号错误,拼写错误或作者姓名等文本信息错误
bug,数学计算异常,出现NaN loss或数值不稳定现象
bug,功能模块初始化错误,内存初始化失败或随机参数问题
bug,接口或API调用错误,属性缺失或方法调用失败导致AttributeError
bug,数据处理流程错误,数据加载器无法形成有效批次或数据格式错误
bug,内存管理错误,CUDA内存不足导致程序崩溃或无法执行
bug,模块缺失或路径错误,模块导入失败（ModuleNotFoundError）或文件未找到
bug,版本兼容性问题,运行时错误或功能异常
bug,序列化错误,保存模型时出现TypeError（如无法序列化ProcessGroup）
bug,进程组管理问题,进程组未正确释放导致系统错误
bug,依赖缺失,安装失败或运行时缺少必要依赖（如pytest、decorator）
bug,梯度计算错误,梯度重置失败或参数/梯度设备不一致
bug,并行策略实现缺陷,Tensor/Pipeline Parallel模式下推理/训练异常
bug,优化器逻辑错误,ZeroOptimizer在特定条件下卡住或溢出检查失败
bug,文档错误,拼写错误或依赖说明不准确
bug,编译配置问题,缺少编译标志导致构建失败（如C++17）
bug,动态批处理配置缺陷,未正确断言配置导致潜在问题
bug,量化功能缺陷,GPTQ初始化错误或量化兼容性问题
bug,测试逻辑问题,测试流程导致缓存超时或模型权重加载失败
bug,设备同步问题,all_reduce操作卡住或异步处理异常
bug,参数管理错误,参数组重复存储或权重映射错误
bug,函数接口变更,新参数未兼容导致调用失败（如padding_mask）
bug,算法实现缺陷,经验生成时间过长或损失计算异常
bug,第三方库兼容性问题,由于依赖库版本更新导致API不兼容（如Transformers库变更、Torch 2.0基类修改）
bug,模块或函数参数缺失,出现未预期的关键字参数错误（如缺少**kwargs、padding_mask参数）
bug,代码路径或模块缺失,报ModuleNotFoundError或AttributeError（如缺少colossalai.global_variables模块）
bug,显存资源不足,运行大模型时出现OOM（显存溢出）错误
bug,梯度计算异常,梯度缩减错误或参数失效（如梯度为NaN、模型不收敛）
bug,多设备/并行配置错误,在多GPU或云环境中因设备参数未正确传递导致的错误（如位置嵌入计算失败）
bug,插件或功能兼容性问题,插件间冲突导致功能失效（如Gemini与Peft插件不兼容、Booster API未配置插件）
bug,测试用例覆盖不全,启用特定功能时测试失败（如sequence parallel模式、enable_flash_attention）
bug,代码逻辑缺陷,因代码重构或函数迁移导致的引用错误（如get_default_parser移动到legacy）
bug,依赖项安装问题,安装过程中因文档说明不清晰或依赖冲突报错（如apex安装错误）
bug,输入数据处理异常,因数据类型或Tokenizer问题导致计算错误（如embedding计算错误）
bug,文件路径或格式错误,文件未找到或格式不符合要求（如config.json路径错误、gptq格式问题）
bug,性能问题,模型加载/推理速度慢或资源占用异常（如单GPU推理延迟）
bug,文档或注释缺陷,文档拼写错误或代码注释缺失导致使用困惑
bug,构建环境问题,因环境依赖缺失导致构建失败（如PyTorch头文件错误）
bug,API调用错误,调用不存在的方法或属性（如accelerator.configure错误方法名）
bug,环境配置问题,未安装triton导致kernel导入错误，Torch版本不兼容导致命令生成错误，Python/CUDA版本不匹配导致预训练错误
bug,代码逻辑错误,Pipeline并行通信优化不足导致GPU利用率低于50%，hidden_states为None导致训练失败，参数同步问题导致权重不同步
bug,模块兼容性问题,Gemini策略与LazyInitContext不兼容，gemini_plugin.py与colossalai.py不兼容，Shardformer自动分片未覆盖所有情况
bug,资源管理问题,GPU显存不足导致OOM错误，内存使用量异常，多机多卡训练出现Socket接口错误
bug,依赖管理问题,Triton kernel卸载导致导入错误，transformers和torch版本冲突导致模型初始化失败
bug,测试框架问题,确定性数据加载器未移除导致测试异常，测试脚本性能指标差异大，挂载盘数据不可访问导致测试失败
bug,版本控制问题,合并分支未清理导致代码冲突，旧版torch命令适配问题，分支删除导致PR重发
bug,通信机制问题,pp_size=2时通信堵塞，混合并行权重同步失败
bug,API接口错误,Checkpoint IO绑定模型导致同步异常，optimizer参数未设为可选导致评估失败
bug,初始化流程问题,TPInferEngine自动优化导致用户流程冲突，模型初始化参数错误
bug,文档更新问题,遗留用法未删除导致文档过时，tensor parallel说明不完整
bug,语法错误问题,代码拼写错误导致功能异常，rand()参数无效导致TypeError
bug,算法实现问题,rotary embedding实现错误，shardformer模块精度差异导致测试失败
bug,代码逻辑错误,模块功能异常（如前向传播失败、子模块替换错误）
bug,模块功能不支持,无法处理特定数据类型（如BatchEncoding）
bug,版本兼容性问题,更新后出现功能异常或错误（如transformers版本升级导致的问题）
bug,参数/配置错误,运行时报错（如OOM、设备不匹配）
bug,资源管理缺陷,内存泄漏或分配异常（如CUDA内存持续增加）
bug,测试流程缺失,CI测试失败或功能验证不完整
bug,依赖项错误,导入失败（如ImportError）
bug,文档描述错误,代码实现与文档说明不一致
bug,并行策略缺陷,分布式训练性能低下或功能异常（如PP/TP/SP问题）
bug,模型保存问题,模型参数保存不完整或加载异常
bug,算子实现错误,特定操作执行失败（如张量拼接错误）
bug,硬件适配问题,特定设备运行异常（如A100显卡OOM）
bug,优化策略失效,性能优化开关未生效（如迭代时间无变化）
bug,梯度计算错误,训练结果不符合预期
bug,初始化缺陷,对象创建失败（如LLaMA实例初始化异常）
bug,检查点处理错误,离线加载行为异常
bug,预处理缺陷,数据准备错误导致流程中断
bug,环境配置问题,Docker构建失败或运行时环境异常
bug,内存管理问题,在分配内存时出现CUDA内存不足错误，需调整参数避免碎片化
bug,模块或接口实现缺失,无法保存模型或完成checkpointio，缺少必要方法或参数
bug,数值计算错误,程序因数值错误崩溃，梯度不稳定或精度异常
bug,数据预处理错误,代码因缺少数据列（如"text"）引发AssertionError
bug,依赖版本问题,示例代码因依赖版本过低无法运行，或存在安全漏洞需升级
bug,代码逻辑错误,脚本因未处理异常情况（如设备设置后退出）或模块缺失报错
bug,测试覆盖不足,测试未覆盖特定优化组合（如Flash Attention 2 + Pipeline Parallelism）
bug,硬件兼容性问题,在不支持的硬件上触发CUDA初始化错误或编译架构不匹配
bug,分布式实现缺陷,分布式模块（如ColoTensor）不支持特定操作（如inplace add）
bug,并行配置错误,多机多卡训练卡死或无法扩展至多节点（如8节点8GPU）
bug,训练过程异常,训练因信号（如SIGTEM）异常终止或loss不下降
bug,文档或配置错误,文档链接失效或配置信息错误导致AssertionError
bug,资源调度问题,训练脚本因资源分配问题（如Ray模块）卡在Pending状态
bug,性能优化缺陷,训练速度低于预期（如对比Deepspeed）或学习率未生效
bug,安全漏洞,依赖库存在CVE漏洞需升级版本（如streamlit、gradio）
bug,并行处理实现错误,训练结果不符预期、权重差异、模型大小异常
bug,环境配置错误,启动命令错误、分布式进程初始化卡住、CUDA版本冲突
bug,API接口设计缺陷,无法加载检查点、save_pretrained失败、不支持左填充
bug,资源管理不足,OOM错误、训练速度慢、GPU内存分配问题
bug,代码逻辑错误,断言错误、类型错误（TypeError）、函数参数缺失
bug,数据加载处理错误,dataloader长度不正确、数据集文件选择错误、预处理标签赋值错误
bug,依赖版本冲突,Transformers非官方版本导致问题、PyTorch版本不兼容
bug,测试覆盖不足,测试用例未覆盖边界条件、flash attention测试失败
bug,模块实现缺失,缺少梯度检查、不支持shard optimizer state dict
bug,代码结构问题,文件格式错误、拼写错误、import语句位置不当
bug,硬件兼容性问题,多节点训练卡住、ninjabuild失败、bitsandbytes路径错误
bug,日志与输出问题,logger打印冗余代码路径、控制台输出混乱
requirement,工具链优化需求,格式调整工具需要改进、单元测试需补充
bug,缓存管理缺陷,Chat缓存文件导致异常需移除
bug,序列化与反序列化错误,检查点加载失败、state_dict方法被破坏
bug,梯度计算错误,requires_grad标记丢失、embedding梯度未检查
bug,API变更,测试无法通过
bug,路径或配置错误,文件或目录不存在导致的错误
bug,依赖或环境问题,模块未找到或符号未定义错误
bug,资源冲突,地址已被占用导致初始化失败
bug,代码错误（拼写/语法错误）,构建失败或CI错误
bug,模块缺失或未实现功能,无法加载或保存检查点
bug,文档错误,文档或示例中的错误使用
bug,数据处理问题,数据溢出或跳过过多步骤
bug,单位混淆或配置错误,通信桶无法填满或配置错误
bug,版本兼容性问题,多GPU训练失败
bug,参数组合不当,不同的错误症状
bug,性能问题,推理速度慢或VMEM占用过高
bug,数据路径错误,数据集文件不存在
bug,测试环境配置问题,测试模块未找到或版本不兼容
bug,检查点生成问题,生成空的检查点
bug,缓存或构建问题,CUDA扩展缓存失败或构建目录错误
requirement,功能缺失,需要实现优化器检查点功能
bug,代码/文档拼写错误,文档或代码中存在拼写错误或书写不当
bug,模块实现缺陷,生成的checkpoint文件为空/无法保存或加载模型权重
bug,依赖版本兼容性问题,在特定torch/CUDA版本下出现安装失败或运行错误
bug,API使用示例错误,文档示例代码引发AssertionError或无法运行
bug,并行处理逻辑错误,pipeline parallel出现Nonetype错误/auto parallel报RuntimeError
bug,缓存管理缺陷,testmon缓存未正确清理导致CI测试问题
bug,参数配置错误,参数设置不当导致负奖励/内存不足/OOM错误
bug,环境配置问题,缺少CUB库/flashattention安装失败等依赖问题
bug,数据加载逻辑错误,重复从相同数据源读取导致错误行为
bug,模型结构适配问题,LLAMA/GPT2模型输入参数不匹配导致运行错误
bug,内存管理问题,程序执行卡顿/GPU占用异常/内存不足
bug,权限配置问题,文档构建未触发/fork仓库PR权限不足
bug,序列化/反序列化错误,state_dict不匹配导致模型加载失败
bug,进程组管理缺陷,进程组管理器出现KeyError异常
bug,训练框架集成问题,无法在EnergonAI中进行模型推断
bug,脚本路径配置错误,未指定GPU编号导致日志路径缺失
bug,条件检查逻辑缺陷,docker workflow因if条件未更新被跳过
bug,代码错误（拼写错误/逻辑错误）,"文档字符串排版错乱；代码存在拼写错误；测试文件内容有误"
bug,版本兼容性问题,"PyTorch版本不一致导致兼容性问题；cond_stage_trainable参数更改导致版本依赖冲突"
bug,API/接口设计缺陷,"Booster API未实现no_sync方法；Plugin类缺少状态字典处理逻辑"
bug,资源管理问题,"GPU内存不足；训练时出现CUDA Runtime Error；梯度超出浮点精度范围"
bug,并行化处理错误,"单机双卡初始化卡死；Shard Model保存函数维度不一致；Zero+Gemini混合初始化冲突"
bug,配置参数错误,"save_last参数设置问题；ppo.py参数加载逻辑错误；max_timesteps参数含义混淆"
bug,数据加载错误,"prompt_dataloader重复读取相同数据；seed dataset转换错误；KL散度采样源错误"
bug,依赖安装问题,"Docker镜像构建失败；安装命令错误；WSL环境模块找不到"
bug,通信机制问题,"gloo通信端口冲突；梯度同步不正确；多进程状态字典加载错误"
bug,环境配置问题,"CI/CD流程失败；文档检查CI异常；GitHub Action自动格式化引发PR变动"
bug,张量处理错误,"概率张量含非法值（inf/nan）；张量维度不匹配；CUDA索引错误"
bug,状态管理错误,"优化器检查点存储异常；模型加载时权重切分方式冲突；Lora参数未合并"
bug,初始化错误,"ZeroInitContext参数卸载失败；'Parameter'对象缺少colo_attr属性"
bug,测试流程缺陷,"测试脚本参数设置错误；单元测试未覆盖新逻辑"
bug,安装配置错误,在nvidia ngc pytorch Docker环境中安装ColossalAI时遇到的安装问题；安装命令存在问题；无法导入'ColoInitContext'导致ImportError错误；TensorNVME在官方Docker镜像中安装不完整导致无法运行
bug,代码拼写错误,文档中出现拼写错误；代码中的变量名错误；命令中的参数名错误；文档中存在额外字符错误
bug,版本兼容性问题,注册的kernel冲突问题；PyTorch版本与代码不兼容；Meta tensor注册不兼容torch>1.12.1；ColossalAI模块与PyTorch版本冲突
bug,内存管理问题,GPU内存未正确释放；训练大模型时出现内存溢出；单GPU训练时出现内存不足错误
bug,模块导入错误,缺少`__init__.py`文件导致模块无法导入；无法导入_analyzer模块；运行时报ModuleNotFoundError
bug,参数配置错误,torch.distributed.elastic参数设置错误导致训练失败；多节点训练参数配置不当；experiment_batch_size参数逻辑错误
bug,代码逻辑错误,setStorage越界错误；重复函数导致代码冗余；索引错误导致数值计算问题；输入维度不匹配引发RuntimeError
bug,依赖缺失问题,缺少colossalai.kernel.op_builder模块；无法加载RewardModelTrainer；coati模块未正确安装
bug,文档不完整,缺乏关于ddp训练设置的说明；训练脚本缺少必要参数定义；API文档未覆盖新功能
bug,资源分配问题,单GPU训练脚本无法运行；gemini策略未正确包装模型；prompt_sampler未正确定义
bug,模型加载错误,加载预训练模型后报错；resize_token_embeddings方法调用错误；stable diffusion模型替换名称错误
bug,训练过程异常,模型生成结果重复直到最大长度；actor/critic模型tokenizer冲突；优化器参数组不匹配
bug,环境变量错误,master_addr参数设置错误导致命令失败；分布式训练环境变量配置不当
bug,CUDA错误,运行时错误，如无效参数或内存不足
bug,模块导入错误,ModuleNotFoundError或ImportError
bug,版本兼容性问题,元类冲突或执行错误
bug,代码逻辑错误,重复计算、多余操作或未定义变量导致错误
bug,环境配置问题,Docker标签缺失或GLIBCXX版本缺失
bug,文档错误,链接错误或内容缺失
bug,分布式训练问题,进程超时或优化器加载耗时过长
bug,模型保存/加载错误,参数保存错误导致推理失败
bug,依赖项缺失,缺少模块或路径错误
bug,输入数据处理错误,数据格式或属性名称错误
bug,API使用错误,参数不支持导致TypeError或ValueError
bug,训练准确率异常,损失函数不稳定导致准确率低
bug,构建/编译错误,Docker构建失败或编译参数错误
bug,张量设备不匹配,张量位于不同设备（如CPU和GPU）导致RuntimeError
bug,参数配置错误,训练过程中出现eval结果为dist=nan、acc=0或train loss为nan
bug,代码语法错误,运行时报TypeError（如关键字参数错误、缩进错误、属性缺失等）
bug,模块功能缺失,模型缺少关键函数（如forward函数）或功能支持（如Lora、Peft）
bug,内存管理问题,训练时因显存不足报错（如CUDA kernel错误、OOM错误）
bug,版本兼容性冲突,特定环境（如PyTorch版本、Docker镜像）下出现功能异常或报错
bug,数据对齐错误,输入数据维度或类型不匹配（如"int too big to convert"、矩阵形状错误）
bug,API接口变更,新版本API导致旧功能失效（如checkpoint命名格式不兼容、Torch DDP插件失效）
bug,环境配置错误,运行时报导入错误（如模块缺失、CUDA流初始化问题）或环境变量未定义
bug,逻辑设计缺陷,模型行为不符合预期（如标签与input_ids相同导致训练异常）
bug,文件路径错误,配置文件或模型路径无效（如JSON文件解析失败、pretrained模型加载失败）
bug,文档信息错误,文档内容误导用户（如错误的世界杯结果描述）
bug,进程通信问题,分布式训练时死锁或卡住（如gemini策略异步通信问题）
bug,单元测试缺陷,文件夹结构混乱或测试用例未覆盖导致功能异常
bug,梯度计算错误,参数与梯度形状不匹配触发AssertionError
bug,模型保存异常,保存模型时因属性缺失或路径问题报错（如AttributeError）
bug,数据加载错误,dataloader获取数据时触发loss计算异常
bug,元数据注册冲突,重复注册功能模块导致程序崩溃
bug,环境配置不兼容,GPU、CUDA、Python版本或框架版本不匹配导致的模块无法运行
bug,文档错误,README文件中的标点符号、语法错误或版本号错误
bug,资源缺失,数据集下载链接、预训练模型权重或配置文件缺失
bug,代码逻辑错误,张量维度不匹配、函数参数错误或数据处理流程缺陷
bug,接口不兼容,模块/类方法缺失或参数传递方式不一致（如缺少resize_token_embeddings属性）
bug,并行处理冲突,同时使用pipeline parallel和gemini导致通信死锁
bug,内存管理问题,CUDA内存耗尽或显存占用未优化
bug,依赖项问题,与torch 2.0、MetaTensor或其他第三方库存在兼容性问题
bug,系统环境限制,Windows环境不支持或Linux环境gcc版本不匹配
bug,训练过程异常,训练时出现NaN损失或Rogue1评分下降
bug,分词处理缺陷,正则表达式匹配错误或tokenizer未正确初始化
bug,性能问题,聊天功能卡顿或显存占用不稳定
bug,后处理缺失,推理输出缺乏后处理导致结果错误
bug,参数配置错误,lora_rank参数设置不当导致程序无响应
bug,工作流缺陷,postcommit workflow不能正常触发lint检查
bug,版本兼容性问题,CUDA版本与Torch版本不匹配导致运行时错误
bug,模型参数或形状不匹配,加载预训练模型时参数形状不匹配引发RuntimeError
bug,代码逻辑错误,元组索引错误导致TypeError或属性不存在错误（如 'DistributedDataParallel' object has no attribute 'model'）
bug,工作流程配置错误,Docker镜像版本错误、GitHub Action条件配置错误导致构建或版本更新失败
bug,依赖管理问题,requirements.txt版本号错误或依赖源不可用导致安装失败
bug,内存管理问题,OOM（内存不足）或内存泄漏导致进程被终止
bug,优化器或策略不兼容,使用不支持的优化器（如FusedSGD替换HybridAdam）引发AssertionError
bug,数据预处理错误,标签深复制操作不当或padding_side参数设置错误导致生成异常
bug,模型保存与加载问题,state_dict不匹配导致无法加载优化器权重或保存模型失败
bug,并行策略问题,模型参数未更新（如pipeline并行分割问题）或梯度同步失败
bug,生成控制逻辑错误,无法识别生成结束符导致生成无关内容
bug,测试覆盖不全,跳过部分测试（如torchaudio tracing测试）引发兼容性问题
bug,配置文件冲突,Precommit配置与pyproject.toml不兼容导致构建失败
bug,网络通信问题,IPv6/IPv4地址获取失败导致单机多卡连接错误
bug,初始化参数错误,模型初始化参数随机化影响KL散度学习
bug,模块导入缺失,缺少模块（如ModuleNotFoundError: No module named 'chatgpt.models'）
bug,版本限制问题,Torch版本限制（如无法安装2.x版本）导致兼容性错误
