大类,问题的根因,问题的症状描述
bug,插件支持缺失,无法支持指定模型类型（如LoRA/Gemma）
bug,环境配置错误,执行命令后无反应且未使用GPU，安装过程中出现模块未找到或文件未找到错误
bug,版本不兼容,导入错误、转换失败、输出logits不符合预期、CUDA版本不匹配导致容器启动失败
bug,代码逻辑错误,模型输出不一致、属性错误、断言失败、张量形状错误、参数设置错误导致性能下降
bug,资源不足,内存溢出（OOM）、构建时内存不足、编译耗时过长
bug,数据处理错误,中文字符解码乱码、输出垃圾数值、批量处理时结果异常
bug,性能问题,批处理大小增加导致延迟线性增长、高并发请求时推理时间增加
bug,依赖库问题,链接错误（如未定义符号）、MPI Abort Error、NCCL错误
bug,功能限制,模型转换失败（如不支持特定模型类型）、检查点转换脚本异常
bug,参数传递错误,类型不兼容导致API调用失败、拼写错误导致配置失效
bug,硬件/软件配置问题,INT4性能未达预期、特定选项（如--use_fp8_context_fmha）无法启用
bug,缓存机制错误,禁用KV缓存导致批处理大小受限、缓存复用功能验证困难
bug,量化实现问题,INT4 GPTQ转换失败、SmoothQuant检查点出现NaN值
bug,并发处理缺陷,Medusa性能随批处理规模下降、流式解码异常
question,功能验证需求,用户询问如何验证enable_kv_cache_reuse是否正常工作
bug,数据类型不匹配,将模型和LoRA同时转换为bfloat16时出现错误，但float16正常
bug,代码逻辑错误,Executor多次调用logit processor导致输出异常
bug,内核实现缺陷,moeTopK()内核无法找到符号导致构建失败
bug,环境配置差异,tritonserver与run.py性能差异大
bug,维度约束限制,权重维度n/k非2的幂时cudaCoreGemm精度异常
bug,参数设置错误,batch_size≥512时张量容量超过限制
bug,模型兼容性不足,Dit模块不支持pp_size>1
bug,版本兼容问题,Python 3.12与TensorRT版本不兼容导致Segmentation fault
bug,内存管理缺陷,运行大模型时出现CUDA内存不足错误
bug,依赖缺失,安装时缺少必要模块或文件
bug,API变更未适配,缺少init_all_reduce_helper()函数导致allreduce失败
bug,量化实现缺陷,Quantization过程中出现输出为空的问题
bug,多设备支持不足,GPU架构SM70不被当前版本支持
bug,并行处理缺陷,MPI初始化卡住或导入失败
bug,日志处理错误,logprobs输出始终为0.000
bug,缓存机制缺陷,启用kv缓存重用导致CUDA运行时错误
bug,模型导出功能缺失,缺少visualize_network导致无法导出ONNX
bug,精度优化不足,XQA kernel使用fp8时速度低于fp16
bug,功能扩展缺陷,Cross attention无法与Medusa兼容
bug,性能回归,0.13.0版本吞吐量比0.12.0下降
bug,符号注册缺失,ONNX导出时无法识别flash_attn命名空间
bug,模块加载错误,无法加载multi-rank nemo LoRA检查点
bug,资源分配错误,非法内存访问导致推理失败
bug,序列处理缺陷,--run_profiling选项导致生成长度不一致
bug,模型解析错误,convert_checkpoint.py转换过程中崩溃
bug,参数传播缺陷,load_model_on_cpu选项未正确传播
bug,特征拆分错误,SmoothQuant量化时未正确拆分mlp.proj
bug,多端一致性缺陷,Python与C++运行结果不一致
bug,环境配置或依赖项缺失,无法编译或构建发布版本
bug,CUDA运行时错误,前向推理函数报错
bug,引擎模型配置错误,无法执行推理操作
bug,权重量化处理出错,转换脚本失败
bug,GPU内存资源不足或请求降低失败,构建或运行失败
bug,模型规范文件丢失,引擎构建失败
bug,参数传递或解析错误,模型转换出错
bug,算法实现或性能优化不足,Int8 Gemm性能下降
bug,配置参数实现缺陷,参数无效未生效
bug,未知命令标志或参数,Docker镜像构建失败
bug,模块或包缺失,导入错误模块未找到
bug,代码逻辑错误,属性缺失或方法错误
bug,版本不兼容,转换或构建失败
bug,API调用用法错误,推理请求hang或异常
requirement,模型或功能支持不足,用户请求新增支持
requirement,依赖库版本要求过旧,需要兼容或更新
bug,环境配置或依赖项缺失,无法编译或构建发布版本
bug,CUDA运行时错误,前向推理函数报错
bug,引擎模型配置错误,无法执行推理操作
bug,权重量化处理出错,转换脚本失败
bug,GPU内存资源不足或请求降低失败,构建或运行失败
bug,模型规范文件丢失,引擎构建失败
bug,参数传递或解析错误,模型转换出错
bug,算法实现或性能优化不足,Int8 Gemm性能下降
bug,配置参数实现缺陷,参数无效未生效
bug,未知命令标志或参数,Docker镜像构建失败
bug,模块或包缺失,导入错误模块未找到
bug,代码逻辑错误,属性缺失或方法错误
bug,版本不兼容,转换或构建失败
bug,API调用用法错误,推理请求hang或异常
requirement,模型或功能支持不足,用户请求新增支持
requirement,依赖库版本要求过旧,需要兼容或更新
bug,安装环境配置不当,"安装失败、编译错误或启动失败"
bug,算法或逻辑缺陷,"输出结果错误、计算异常或非确定性响应"
bug,参数配置错误,"生成重复文本、功能失效或生成阻塞"
bug,兼容性限制,"功能不起作用、性能无改善或构建失败"
bug,资源或内存限制,"内存溢出（OOM）或性能显著下降"
bug,并发或同步问题,"运行阻塞、MPI未知错误或段错误"
bug,API或插件支持不足,"插件注册失败或模型加载错误"
question,文档或使用指导不清晰,"用户无法按指南完成安装或配置，提出使用方法询问"
requirement,功能扩展需求,"需要支持新特性（如自定义层、Flash Attention 等）"
requirement,文档或示例需求,"需提供示例代码或更完整详细的使用文档"
bug,构建脚本忽略模型权重,无法从预训练模型生成可用engine
bug,参数配置不当,生成结果与预期不一致或差异显著
bug,环境或库版本不匹配,适配器加载失败或脚本运行错误
bug,缺少方法实现（__repr__）,调试信息不足导致诊断困难
bug,API实现缺陷（排除endId token）,生成结果缺少结束标识符
bug,安装命令配置错误,pip安装失败
bug,符号定义缺失,出现undefined symbol错误
bug,文档链接失效,无法访问或查阅文档
bug,导入模块阻塞,导入过程卡住
bug,缺少bindings路径,setup.py执行失败
bug,版本兼容性问题,引擎构建失败或模型支持中断
bug,插件注册失败,trtexec工具报错
bug,量化键错误,抛KeyError导致构建中断
bug,性能调度问题,生成速度慢且一次只生成一个token
bug,推理结果混乱,输出乱码或结果不符合预期
bug,模型权重加载更新问题,加载过程抛出异常
bug,输入尺寸不合法,RuntimeError报错
bug,命令语法错误,构建命令执行失败
bug,非确定性输出,相同输入多次结果不一致
bug,量化输出异常,使用smoothquant时输出为空
bug,已知平台问题（Windows）,存在已知Bug导致功能异常
bug,构建脚本冲突（重复导入）,模块导入重复导致错误
bug,CLI参数未识别,命令行报未识别参数
bug,系统资源不足（内存溢出）,CUDA内存不足导致运行失败
bug,未处理结束标识,生成未自动停止
bug,属性缺失,PluginConfig缺少_streamingllm属性导致异常
bug,PTX指令依赖问题,性能警告提示指令序列化
requirement,功能缺失：LoRA Adapter支持,无法将LoRA adapter应用于模型
requirement,功能缺失：int8 gemm_plugin支持,无法创建对应int8引擎
bug,模型转换流程错误,转换失败
bug,量化实现错误,量化失败
bug,依赖或版本不兼容,运行时错误
bug,内存或资源配置不足,内存溢出
bug,并行或多GPU配置错误,运行时错误
bug,参数或功能选项混淆,计算工作空间大小错误
bug,脚本或组件缺陷,脚本执行失败
bug,API变更或功能缺失,功能不可用
bug,文档或拼写错误,命令报错
bug,架构平台不支持,安装失败
bug,代码逻辑或索引错误,断言失败或进程崩溃
bug,编译错误,无法成功编译TrTllm并报错
bug,文档链接过时,README文件中链接失效导致无法访问资源
bug,模型转换错误,使用smoothquant或其他模型转换功能时报错
bug,参数设置不兼容,调用set_shape或TP/PP参数设置错误导致运行失败或性能问题
bug,依赖缺失或加载失败,无法加载libtensorrt_llm.so或找不到modelSpec.h文件导致加载失败
bug,配置环境错误,MPI worldSize/Peer access unsupported或Docker资源权限被拒绝导致服务启动或运行失败
bug,功能未实现,FP8量化和KV缓存支持未实现或pad token配置缺失导致功能异常
bug,版本不匹配,不同版本库或API移除导致undefined symbol或ImportError
bug,内存/资源不足,GPU显存不足导致量化或引擎构建时OOM
bug,运行时CUDA错误,CUDA_ERROR_INVALID_VALUE或cudaDeviceSynchronize运行时错误
bug,性能退化,使用Leader Mode或LoRa Adapter时延迟增加或性能降低
bug,加载/构建失败,无法加载 Whisper decoder engine 或模型转换/引擎构建失败
bug,版本兼容性问题,版本升级后推理结果不一致且速度下降，或 CUDA 与 TensorRT 版本不兼容导致编译失败
bug,量化支持不足,FP8 量化导致推理结果重复或 attention 计算失败
bug,形状/参数不匹配,模型构建时出现形状不匹配错误或违反 kOPT 形状约束
bug,内存不足,CUDA 运行时因显存不足发生 OOM 错误或量化过程失败
bug,性能退化,kv-cache 在多线程/多 GPU 情况下速度变慢，或 LoRA 模型推理显著变慢
bug,功能冲突,PromptTuning 与 block_reuse 等功能无法同时正常工作
bug,构建/安装错误,源码错误或依赖问题导致镜像构建失败或 pip 安装失败
bug,参数配置错误,low_rank 参数超出最大值或临时工作区分配失败
bug,内部断言失败,运行时出现 Assertion failed 或 “Operation not permitted” 权限错误
bug,动态形状处理缺陷,expand/slice 等操作在处理维度为1的张量时失败
bug,切片/填充问题,不同提示组成的批次推理结果不一致
bug,依赖/模块缺失,导入模块时发生 ModuleNotFoundError
bug,特殊标记处理异常,某些特殊 token 导致推理结果异常
bug,执行器响应故障,Executor failed to await responses 时请求无法正确返回
question,量化参数含义不明确,用户不确定“--weight_only_precision int8 --qformat fp8”是否生效，权重量化精度存疑
requirement,推理并行度或流水线配置不当,用户希望改善pipeline parallelism以提升token生成速度
bug,参数未设置或设置不当,remove_input_padding启用但opt_num_tokens未设置导致trtllmbuild崩溃
bug,批处理逻辑不一致,不同batch大小下推理结果不一致
bug,缺少条件检查,W4A(FP)8量化缺少零点检查导致量化过程出错
bug,内存管理失败,内存工作空间释放失败导致Assertion failed错误
bug,依赖或版本不兼容,TensorRT版本与库不匹配导致undefined symbol错误
bug,导入或路径配置错误,无法导入tensorrt_llm模块
bug,模型转换配置错误,convert_checkpoint.py脚本环境配置或参数错误导致转换失败
bug,数据类型或硬件支持问题,使用bf16或在不支持硬件上运行导致CUDA运行时错误
bug,内存溢出,CUDA内存耗尽引发torch.cuda.OutOfMemoryError
bug,输出重复或异常,长输入任务输出重复或产生垃圾数据
bug,API忽略关键参数,executor API忽略prompt_vocab_size导致加载/运行异常
bug,模型转换错误,模型转换失败报错
bug,缺少依赖库,ImportError 导致加载失败
bug,参数配置错误,构建或转换失败
bug,依赖版本不兼容,编译失败或运行时错误
bug,并行/多GPU访问问题,运行时卡死或设备不可用
bug,编译构建失败,构建过程出错
bug,运行时维度不匹配,推理时报 dimension 错误
bug,量化失败,INT8/INT4 失败报错
bug,性能瓶颈,吞吐量低或延迟高
bug,内存/资源错误,程序被 killed 或 OOM
bug,超时/响应延迟,服务无响应或响应时间增大
bug,序列化/日志处理缺失,请求同步失败
bug,文件/张量缺失,转换时报张量模型缺失错误
bug,分段错误,segfault
bug,随机种子问题,输出不稳定或不准确
bug,高并发问题,响应时间显著增大
bug,缺少声明,编译时报缺失声明错误
bug,类型或平台不支持,在 Python3.11 等环境下运行失败
bug,镜像体积过大,Docker 镜像过大难以分发
bug,输出非预期停止,输出未在停止标记处结束
bug,解码模块逻辑错误,解码缓慢或结果不一致
bug,版本不匹配,构建或转换失败  
bug,参数传递错误或缺失,方法调用出现未预期的关键字参数或缺少参数导致功能无法执行  
bug,内存分配或管理缺陷,GPU或主机内存分配异常或碎片化导致崩溃或性能下降  
bug,依赖安装或环境配置错误,安装或编译过程中缺少文件或模块导致安装失败或编译错误  
bug,量化算法逻辑缺陷,量化过程出现错误导致转换或推理失败  
bug,API使用或参数校验缺陷,API校验失败或参数格式错误导致调用异常  
bug,性能或准确率下降,未获得预期性能提升或出现高错误率  
bug,部署或推理阶段错误,部署至TritonServer或多节点推理时出现OOM或segfault  
bug,多卡并行或通信错误,NCCL或MPI错误导致进程异常退出  
bug,模型生成逻辑缺陷,生成会话初始化或生成流程异常导致输出不正确
bug,张量未迁移到CPU,CUDA内存溢出
bug,文件或模块缺失或路径错误,构建或加载失败
bug,版本或依赖不匹配,无法加载或转换模型
bug,不支持的数据类型或架构,模型转换失败或结果错误
bug,参数硬编码,输入长度受限或选项不可用
bug,并行/MPI配置错误,运行卡顿或失败
bug,量化策略或转换性能问题,推理性能下降或延迟增加
bug,推理逻辑或采样缺陷,生成无效标记或提前终止
requirement,功能缺失,用户无法启用所需功能
question,环境或模型适配,用户寻求解决方案或已构建模型版本
bug,参数配置错误,运行时报错或错误输出
bug,依赖/版本不兼容,模块导入失败或功能导出失败
bug,硬件/架构不支持,断言错误或进程挂起
bug,量化/精度模块缺陷,输出异常或NaN
bug,内存不足/OOM,进程因内存溢出崩溃
bug,模型转换脚本逻辑错误,KeyError或AttributeError
bug,文档内容问题,死链接或文档不完整
question,缺少特性支持,无法在CPU上构建或功能欠缺
requirement,性能优化需求,性能低于预期
bug,tokenizer逻辑缺陷,多余特殊token出现在prompt中
bug,多GPU设备访问配置错误,peer access失败
bug,路径或拼写错误,ModuleNotFoundError或拼写导致错误
bug,安装或依赖缺失,无法导入模块或安装失败
bug,配置或参数错误,运行时配置错误导致报错或功能失效
bug,代码实现缺陷,功能逻辑错误引发异常或结果不正确
bug,环境兼容性问题,依赖或 CUDA 版本不匹配导致构建或运行失败
bug,内存或性能瓶颈,高内存消耗或运行性能下降
bug,文件或路径缺失,缺少配置文件或权重文件导致脚本无法执行
bug,API或功能支持不足,缺少必要的 API 实现或参数支持导致导出或量化失败
bug,输入验证或边界检查缺失,越界或无效输入未被捕获导致崩溃或错误
bug,精度或量化支持不完善,特定精度模式下引擎构建或推理异常
bug,硬件支持不足,硬件不支持特定功能导致无法构建引擎
bug,文档描述错误,文档信息不准确导致用户误用功能
bug,GPU 显存管理不足,OOM 或显存占用过高
bug,配置或参数缺失,推理失败或引擎无法构建
bug,参数形状不匹配,量化失败或输出错误
bug,模型量化实现缺陷,模型压缩不正确或输出异常
bug,中间数据导出逻辑错误,无法导出中间值或导出异常
bug,引擎构建流程缺陷,无法创建或反序列化 engine
bug,运行时多块模式冲突,引擎崩溃或断言失败
bug,性能优化缺失,批量增加导致性能显著下降
bug,输出结果不一致,不同版本/参数下结果差异
bug,安装或构建脚本错误,pip 安装失败或 wheel 构建失败
bug,环境或平台兼容性问题,模型转换失败或输出乱码
bug,非确定性并行策略,不同批次或设备导致输出不一致
bug,示例脚本或 API 使用错误,配置参数不生效或无法指定 GPU
bug,重复 token 或停止逻辑缺陷,推理过程中出现大量重复或无法停止
bug,上下文长度处理错误,超长输入导致输出异常或不完整
bug,依赖库版本冲突,构建或运行时报错
bug,脚本拼写或逻辑错误,示例模块执行失败
bug,参数传递错误,GenerationExecutor输出结果无意义
bug,计算精度数据类型不匹配,bfloat16构建失败
bug,参数组合不当,量化过程中出现TypeError
bug,编译环境依赖冲突,v0.8.0版本编译错误
bug,内存估计不足,CUDA内存溢出
bug,模块导入失败,无法导入tensorrt_llm库
bug,配置混淆,max_new_tokens始终为1
bug,资源不足,CUDA OOM导致量化失败
bug,长文本处理缺陷,长文本输入输出精度变差
bug,序列化格式错误,InvalidHeaderDeserialization异常
bug,断言限制超出,shared memory长度超限导致失败
bug,校准流程故障,INT8校准失败
bug,变量未定义,缺少对变量args的定义
bug,链接依赖缺失,BatchManager未包含导致链接错误
bug,多模型拼写错误,文档中multimodel拼写错误
requirement,文档不完善,缺少promptTuningEnabled参数说明
requirement,功能支持缺失,v0.8.0缺少max_draft_len支持
requirement,依赖声明缺失,requirements.txt遗漏必要包
question,行为不确定,批处理大小是否影响推理结果
question,使用指导缺乏,如何设置BF16构建参数不明确
bug,格式兼容性问题,文件生成错误
bug,提交引入回归缺陷,MMLU得分异常
bug,推理逻辑错误,推理结果不一致
bug,文档与脚本不一致,引擎生成工具输出不匹配
bug,构建环境或依赖配置错误,构建失败
bug,安装包命名或元数据错误,安装失败
bug,算子或策略缺失,No valid weight only groupwise GEMM tactic 错误
bug,参数缺失或硬编码,缺失 scale 和 zero-point 警告
bug,性能或资源管理缺陷,批量推理耗时过长
bug,内存溢出,CUDA out of memory 错误
bug,并行策略兼容性问题,MPI 初始化失败
bug,模型量化缺陷,量化过程失败或导出类型错误
bug,平台兼容性缺失,构建失败
bug,依赖/版本冲突,安装或构建失败
bug,编译/构建配置错误,构建失败
bug,参数/接口误用,运行报错
bug,形状/维度不匹配,运行时报错
bug,内存不足,CUDA内存不足导致OOM
bug,逻辑实现缺陷,功能异常或结果不正确
bug,导入/加载错误,加载失败或导入错误
bug,测试用例失败,单元测试失败
bug,转换过程缓慢,转换耗时过长
bug,多GPU并行问题,脚本卡住或性能异常
bug,崩溃指针错误,程序崩溃
bug,文档错误,文档引用或说明错误
question,性能指标差异,性能低于预期
question,参数使用建议,询问参数调整或移除
bug,缺少依赖,导入 TensorRTLLM Python 包出错
bug,版本不兼容,CUDA 版本不兼容导致编译错误
bug,配置错误,Dockerfile 中未找到 CUDA 编译器导致构建失败
bug,参数错误,传入未知参数 'group_size' 导致 TypeError
bug,资源限制,GPU 内存不足导致 OOM 错误
bug,多 GPU 配置,多 GPU 推理时系统挂起
bug,脚本缺陷,构建脚本错误导致编译失败
bug,模型架构不支持,Unsupported model architecture 错误
bug,数据类型错误,int32 索引溢出导致构建失败
bug,断言失败,编码器注意力层断言失败导致构建失败
bug,API 使用错误,示例代码推理时出现异常行为
bug,授权问题,缺少运行权限/授权导致转换失败
bug,序列化失败,CUDA 引擎序列化失败导致部署出错
requirement,文档缺失,README 缺少 libnccl2 安装说明
requirement,版本说明缺失,未指定 cuDNN 版本导致运行错误
bug,环境配置错误,无法进入Docker环境或Docker启动失败
bug,依赖版本不兼容,导入时出现undefined symbol（如ImportError）、CUDA/cuDNN版本不兼容导致的性能降低或构建失败
bug,代码逻辑错误,多GPU运行时出现配置错误、并发请求断言错误、流式模式无法输出tokens
bug,功能实现缺失,缺少Alltoall操作导致专家并行性不足、不支持特定模型（如deepseek、baichuan）
bug,资源不足,内存不足（OOM）导致运行崩溃
bug,参数配置错误,随机种子未设置导致抽样结果重复、预处理模型修改后断言错误
bug,模型转换错误,模型转换到ONNX失败、构建引擎时出现AssertionError
bug,量化实现问题,int8_kv_cache或int4-awq导致精度下降或构建错误、线性层合并影响量化准确性
bug,构建配置错误,make命令失败（如Error 255）、CUDA版本不兼容导致构建失败
bug,组件弃用或变更,插件即将弃用（如Layernorm plugin）导致兼容性问题
bug,性能优化不足,响应时间比预期慢（如VLLM对比）、layernorm kernel速度低于torch
bug,符号或接口不一致,函数命名不一致导致编译错误、接口参数缺失（如--max_num_sequences不存在）
bug,插件或驱动问题,CUPTI初始化失败导致性能分析缺失、插件层启用冲突引发错误
bug,模型兼容性缺陷,特定模型（如MBartForCausalLM、CodeLlama7B）转换或运行时出现错误
bug,随机生成问题,默认随机种子导致生成结果重复
bug,调试支持不足,添加调试语句（如printf）后无输出
bug,代码实现错误,模型构建失败或运行时异常，例如节点实现缺失、性能瓶颈、函数未正确传递参数
bug,依赖或配置问题,环境配置错误或依赖缺失导致模块未找到、路径错误、文件缺失
bug,资源不足,内存或显存不足导致崩溃，或硬件不支持某些功能
